Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2017-0142-PHL,2017,0142,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 02W (Crising),Philippines (the),PHL,South-Eastern Asia,Asia,"Cebu Isl. (Carmen, Danao City)",,,,,,,,,Kph,,,,,2017,4,15,2017,4,15,10,10,850,,860,,,,,2000,2211,90.46017931,2,,24253,Cebu (Adm2).
2017-0485-PHL,2017,0485,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Pakhar'/'Jolina',Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos, Cagayan Valley, Central Luzon, Cordillera Regions",,,,,,,,65,Kph,,,,,2017,8,25,2017,8,26,,,,,,,,,,,,90.46017931,1,2354;2356;2357;67165,,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) (Adm1)."
2018-0044-PHL,2018,0044,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Basyang' (Sanba),Philippines (the),PHL,South-Eastern Asia,Asia,"Palawan (Mimaropa); Capiz, Iloilo, Negros occidental (Region IV - Western Visayas); Bohol, Cebu, Negros Oriental, Siquijor (Region VII - Central Visayas); Biliran, Eastern Samar, Leyte, Samar, Southern Leyte (Region VII - Eastern Visayas); Agusan del Norte, Dinagat Isl., Surigao del Norte, Surigao del Sur (REgion XIII - Caraga)",,Flood,"Slide (land, mud, snow, rock)",,,,,75,Kph,,,,,2018,2,12,2018,2,16,,,254859,,254859,,,,,3070,3313,92.6696698,2,,24233;24248;24250;24251;24252;24253;24254;24255;24256;24257;24258;24260;24261;24275;24278;67168;67169,"Agusan Del Norte, Biliran, Bohol, Capiz, Cebu, Dinagat, Eastern Samar, Iloilo, Leyte, Negros Occidental, Negros Oriental, Palawan, Samar, Siquijor, Southern Leyte, Surigao Del Norte, Surigao Del Sur (Adm2)."
2018-0455-PHL,2018,0455,EC-2018-000426,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Usman',Philippines (the),PHL,South-Eastern Asia,Asia,"Regions IV-A (Calabarzon), IV-B (Mimaropa), V (Bicol), and VIII (Eastern Visayas)",,Flood,"Slide (land, mud, snow, rock)",,,Yes,,,Kph,,,,,2018,12,28,2018,12,31,182,105,1015958,,1016063,,,,,106753,115197,92.6696698,1,2361;2364;67166;67167,,"Region IV (Southern Tagalog), Region IV-A (Calabarzon), Region V (Bicol region), Region VIII (Eastern Visayas) (Adm1)."
2018-0352-IDN,2018,0352,EQ-2018-000122,Natural,Geophysical,Earthquake,Tsunami,,,Indonesia,IDN,South-Eastern Asia,Asia,"Dongalla, Sigi (dongalla), Parigi Moutong, Palu, Poso, Mamuju Utara (Celebas Isl., Central Sulawesi)",,Tsunami/Tidal wave,Liquefaction,Yes,Yes,Yes,,8,Richter,-178,119.84,,,2018,9,28,2018,9,28,4140,,2000000,,2000000,1600000,1726563,,,1450000,1564697,92.6696698,2,,73671;73741;73785;73821;73830,"Donggala, Kota Palu, Mamuju Utara, Parigimoutong, Poso (Adm2)."
2018-0341-PHL,2018,0341,TC-2018-000149,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Mangkut (Ompong),Philippines (the),PHL,South-Eastern Asia,Asia,"Apayao, Benguet, Cagayan, Kalinga, Isabela, Abra, Ilocos Norte and Ilocos Sur",,"Slide (land, mud, snow, rock)",,Yes,,,,240,Kph,,,,,2018,9,16,2018,9,16,84,138,3800000,,3800138,,,,,32033,34567,92.6696698,2,,24204;24205;24206;24208;24211;24212;24216,"Abra, Apayao, Benguet, Cagayan, Ilocos Norte, Ilocos Sur, Kalinga (Adm2)."
2018-0399-PHL,2018,0399,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Yutu' (Rosita),Philippines (the),PHL,South-Eastern Asia,Asia,"Ilocos norte, Ilocos Sur, la Union, Pangasinan (Region 1 - Ilocos); Cagayan, Isabela, Nueva Vizcaya, Quirino (Region II - Cagayan Valley); Aurora, Nueva Ecija, Tarlac, Zambales (Region III - Central Luzon); Northern Samar (REgion VIII - Eastern Visayas); Abra, Apayao, Benguet, Ifugao, Kalinga, Mountain province (CAR)",,"Slide (land, mud, snow, rock)",,,,,,210,Kph,,,,,2018,10,30,2018,10,30,12,2,253298,,253300,,,,,305000,329126,92.6696698,2,,24204;24205;24206;24207;24208;24209;24211;24212;24213;24214;24216;24217;24218;24219;24222;24224;24225;24226;24259,"Abra, Apayao, Aurora, Benguet, Cagayan, Ifugao, Ilocos Norte, Ilocos Sur, Isabela, Kalinga, La Union, Mountain Province, Northern Samar, Nueva Ecija, Nueva Vizcaya, Pangasinan, Quirino, Tarlac, Zambales (Adm2)."
2018-0257-IDN,2018,0257,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lombok, sumbawa",,Tsunami/Tidal wave,,,,,,7,Richter,-8.287,116.452,18:46,,2018,8,5,2018,8,5,564,1584,445343,70000,516927,,,,,790000,852490,92.6696698,2,,18145;18146;18147;73736;73857;73858,"Kota Mataram, Lombok Barat, Lombok Tengah, Lombok Timur, Sumbawa, Sumbawa Barat (Adm2)."
2018-0458-IDN,2018,0458,,Natural,Geophysical,Volcanic activity,,,Anak Krakatoa,Indonesia,IDN,South-Eastern Asia,Asia,"Pandenglang, South Lampung, Serang districts (Bantan province)",,Tsunami/Tidal wave,,,,,,,,,,,,2018,12,22,2018,12,22,453,14059,33719,,47778,,,,,250000,269775,92.6696698,2,,18022;18024;18135,"Lampung Selatan, Pandeglang, Serang (Adm2)."
2018-0421-MEX,2018,0421,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Vicente',Mexico,MEX,Central America,Americas,Michoacán and Oaxaca,,Flood,,,,,,,Kph,,,,,2018,10,19,2018,10,23,14,,,,,,,,,7005,7559,92.6696698,1,2043;2047,,"Michoacan, Oaxaca (Adm1)."
2018-0227-PHL,2018,0227,TC-2018-000113,Natural,Meteorological,Storm,Tropical cyclone,,Tyhoon 'Son Tinh',Philippines (the),PHL,South-Eastern Asia,Asia,,,Flood,,,,,,,Kph,,,,,2018,7,17,2018,7,31,16,,2231101,,2231101,,,,,88000,94961,92.6696698,,,,
2018-0031-IDN,2018,0031,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jakarta, Sukabumi, Bogor , Bogor city (Java), Cianjur, Lebak, Pandeglang, Serang (Banten)",,,,,,,,6,Richter,-7.196,105.918,14:00,,2018,1,23,2018,1,23,1,11,13800,,13811,,,,,80000,86328,92.6696698,1;2,1516,18008;18010;18016;18020;18022;18024;18026,"Dki Jakarta (Adm1). Bogor, Cianjur, Kota Bogor, Lebak, Pandeglang, Serang, Sukabumi (Adm2)."
2018-0254-IDN,2018,0254,EQ-2018-000122,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"North Lombok, East Lombok, West Lombok, Central Lombok, Mataram districts (West Nusa Tenggara province)",,,,,,,,6,Richter,-8.274,116.491,05:47,,2018,7,29,2018,7,29,14,135,102717,,102852,,,,,29000,31294,92.6696698,2,,18145;18146;18147;73736,"Kota Mataram, Lombok Barat, Lombok Tengah, Lombok Timur (Adm2)."
2018-0302-IDN,2018,0302,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Lombok Isl.,,,,,,,,7,Richter,-8.325,116.577,,,2018,8,19,2018,8,19,10,24,755,,779,,,,,5000,5396,92.6696698,2,,18145;18146;18147;73736,"Kota Mataram, Lombok Barat, Lombok Tengah, Lombok Timur (Adm2)."
2018-0016-IDN,2018,0016,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Agung,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,2018,1,14,2018,1,14,,,50000,,50000,,,,,,,92.6696698,,,,
2018-0315-MEX,2018,0315,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Oaxaca,,,,,,,,7,Richter,16.646,-97.653,17:39,,2018,2,16,2018,2,16,,4,3000,,3004,,,,,,,92.6696698,1,2047,,Oaxaca (Adm1).
2018-0406-MEX,2018,0406,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Willa,Mexico,MEX,Central America,Americas,"Sinaloa, Nayarit, Jalisco, Durango, Zacatec",,,,,,,,195,Kph,,,,,2018,10,23,2018,10,23,6,,10000,,10000,,,,,536800,579262,92.6696698,1,2037;2041;2045;2052;2059,,"Durango, Jalisco, Nayarit, Sinaloa, Zacatecas (Adm1)."
2018-0014-PHL,2018,0014,VO-2018-000005,Natural,Geophysical,Volcanic activity,Lava flow,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Bacacay, Daraga, Legazpi, Ligao, Santo Domingo, Tabao, Camalig, Guinobatan, Malilipot municipalities (Bicol region, Albay province)",,,,Yes,,Yes,,,,,,,,2018,1,13,2018,3,6,,,86056,,86056,,,,,3564,3846,92.6696698,2,,24240,Albay (Adm2).
2018-0004-PHL,2018,0004,,Natural,Meteorological,Storm,Tropical cyclone,,Agaton (01W),Philippines (the),PHL,South-Eastern Asia,Asia,"Aklan, Capiz (Region VI); Bohol, Cebu (Region VII); Camiguin, Lanao del NOrte, Misamis Oriental (Region X); Agusan del NOrte, Dinagat Isl., Surigao del Norte , Surigao del Sur (Caraga)",,,,,,,,,Kph,,,,,2018,1,1,2018,1,3,3,9,83908,,83917,,,,,12292,13264,92.6696698,2,,24246;24248;24252;24253;24263;24265;24272;24275;24278;67168;67169,"Agusan Del Norte, Aklan, Bohol, Camiguin, Capiz, Cebu, Dinagat, Lanao Del Norte, Misamis Oriental, Surigao Del Norte, Surigao Del Sur (Adm2)."
2018-0347-PHL,2018,0347,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Yagi,Philippines (the),PHL,South-Eastern Asia,Asia,"I, III, CAR, NCR, and CALABARZON",,,,,,,,,Kph,,,,,2018,9,19,2018,9,19,5,,1709511,,1709511,,,,,19000,20503,92.6696698,1,2354;2356;67165;67166,,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region III (Central Luzon), Region IV-A (Calabarzon) (Adm1)."
2019-0085-IDN,2019,0085,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,West Sumatra province,,,,,,,,5,Richter,-1.301,101.601,,,2019,2,28,2019,2,28,,48,1715,,1763,,,,,,,94.3490925,1,1535,,Sumatera Barat (Adm1).
2019-0109-IDN,2019,0109,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Lombok Isl. (West Nusa Tenggara),,,,,,,,6,Richter,-8.418,116.52,15:07,,2019,3,17,2019,3,17,9,45,1250,,1295,,,,,,,94.3490925,2,,18145;18146;18147;73736,"Kota Mataram, Lombok Barat, Lombok Tengah, Lombok Timur (Adm2)."
2019-0162-PHL,2019,0162,EQ-2019-000036,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,Castillejos (Zambales),,,,,,,,6,Richter,14.99,120.35,17:11,,2019,4,22,2019,4,22,25,282,15273,,15555,,,,,50000,52995,94.3490925,2,,24225,Zambales (Adm2).
2019-0021-PHL,2019,0021,EC-2019-000004,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Amang' (01W),Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan del Norte, Agisan del Sur, Dinaga Isl., Surigao del Norte, Surigao del Sur (Region XIII - Caraga)",,,,,,,,,Kph,,,,,2019,1,18,2019,1,25,,,13160,,13160,,,,,,,94.3490925,2,,24275;24276;24278;67168;67169,"Agusan Del Norte, Agusan Del Sur, Dinagat, Surigao Del Norte, Surigao Del Sur (Adm2)."
2019-9137-PHL,2019,9137,,Natural,Climatological,Drought,Drought,,,Philippines (the),PHL,South-Eastern Asia,Asia,"MIMAROPA Region, Region IX, Region XII, BARMM, Metro Manilla",El Nino,,,,,Yes,,,Km2,,,,,2019,3,,2019,4,,,,16000,,16000,,,,,,,94.3490925,1;2,67156;67159;67162,24210;24230;24231;24232;24233;24236,"Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region XII (Soccsksargen) (Adm1). Marinduque, Metropolitan Manila, Mindoro Occidental, Mindoro Oriental, Palawan, Romblon (Adm2)."
2016-0322-USA,2016,0322,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Hermine,United States of America (the),USA,Northern America,Americas,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",,Flood,Surge,,,,,85,Kph,,,,,2016,9,1,2016,9,6,3,,13500,570,14070,,,270000,304832,600000,677404,88.57345288,1,3223;3224;3244;3246;3247;3254,,"Florida, Georgia, New Jersey, New York, North Carolina, South Carolina (Adm1)."
2016-0477-USA,2016,0477,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Alabama, Mississippi, Tennessee, Georgia, South Carolina, Louisiana, North Carolina provinces",,Hail,,,,,,,Kph,,,,,2016,11,26,2016,12,1,8,33,,,33,,,200000,225801,275000,310477,88.57345288,1,3214;3224;3232;3238;3247;3254;3256,,"Alabama, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee (Adm1)."
2016-0521-USA,2016,0521,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Northern (Missouri, Maryland, Oklahoma, Indiana, Michigan, New Mexico, Ohio, Virginia)",,Cold wave,,,,,,,Kph,,,,,2016,12,13,2016,12,19,22,,,,,,,,,100000,112901,88.57345288,1,3228;3234;3236;3239;3245;3249;3250;3260,,"Indiana, Maryland, Michigan, Missouri, New Mexico, Ohio, Oklahoma, Virginia (Adm1)."
2016-0355-USA,2016,0355,TC-2016-000106,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Matthew',United States of America (the),USA,Northern America,Americas,"Florida, Georgia, South Carolina, North Carolina, Virginia provinces",,Flood,,,,,,,Kph,,,,,2016,10,8,2016,10,12,49,,,,,,,5000000,5645032,10000000,11290065,88.57345288,1,3223;3224;3247;3254;3260,,"Florida, Georgia, North Carolina, South Carolina, Virginia (Adm1)."
2016-0550-USA,2016,0550,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Texas, Oklahoma, Kansas, Missouri, Nebraska, Illinois, Indiana, Kentucky, Ohio",,,,,,,,,Kph,,,,,2016,4,24,2017,4,28,6,19,,,19,,,800000,903205,,,88.57345288,1,3227;3228;3230;3231;3239;3241;3249;3250;3257,,"Illinois, Indiana, Kansas, Kentucky, Missouri, Nebraska, Ohio, Oklahoma, Texas (Adm1)."
2016-0493-USA,2016,0493,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,Cushing (Oklahoma),,,,,,,,5,Richter,35.991,-96.803,,,2016,11,7,2016,11,7,,,120,,120,,,,,20000,22580,88.57345288,1,3250,,Oklahoma (Adm1).
2017-0039-USA,2017,0039,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"California, Nevada, Idaho, Colorado, Utah, Oregon states",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2017,1,6,2017,1,13,3,,,,,,,200000,221092,400000,442184,90.46017931,1,3218;3219;3226;3242;3251;3258,,"California, Colorado, Idaho, Nevada, Oregon, Utah (Adm1)."
2017-0336-USA,2017,0336,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Tulsa (Oklahoma); Texas, Louisiana, Kansas, Missouri",,Flood,Hail,,,,,,Kph,,,,,2017,8,5,2017,8,8,,30,600,,630,,,200000,221092,200000,221092,90.46017931,1;2,3230;3232;3239;3257,30879,"Kansas, Louisiana, Missouri, Texas (Adm1). Tulsa (Adm2)."
2017-0542-USA,2017,0542,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Georgia, North Carolina, Maryland, Virginia, New York, New Jersey, Massachusetts, Michigan, Texas, Mississippi, Missouri",,Transport accident,Cold wave,,,Yes,,,Kph,,,,,2017,12,31,2018,1,5,22,,,,,,,750000,829094,1100000,1216005,90.46017931,1,3224;3234;3235;3236;3238;3239;3244;3246;3247;3257;3260,,"Georgia, Maryland, Massachusetts, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, Texas, Virginia (Adm1)."
2017-0062-USA,2017,0062,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"Center and south of California (San Diego, Los Angeles, San Francisco, Sacramento)",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2017,2,8,2017,2,21,5,,200000,,200000,,,200000,221092,1500000,1658188,90.46017931,1,3218,,California (Adm1).
2017-0234-USA,2017,0234,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Colorado, Kansas, Illinois, Indiana, Texas (Gregg County, Tenneryville, Easton, Longview City), Oklahoma (Okfuskee), Missouri (Bates, Carthage, Laclede, Pulaski, Phelps, Dent, Texas Counties, Crawfordsville, Phillipsburg, Edgar Springs, Salem, Evening Shade, Palace, Big Piney), Arkansas, Ohio, Kentucky, Tennessee (Millington, Memphis, Knoxville), Virginia, Louisiana (Natchitoches, DeSoto, Caddo, Caldwell, Franklin, LaSalle, Winn, Rapides, Catahoula, Concordia Parishes, Goldonna), North Dakota, South Dakota, Minnesota, Iowa, Ohio, Pennsylvania, New York, North Carolina (Sampson County, Salemburg, Clinton), South Carolina, Georgia, New Mexico",,Hail,Flood,,,,,170,Kph,,,,,2017,6,25,2017,6,29,,,,,,,,1100000,1216005,1400000,1547642,90.46017931,1,3217;3219;3224;3227;3228;3229;3230;3231;3232;3237;3239;3245;3246;3247;3248;3249;3250;3252;3254;3255;3256;3257;3260,,"Arkansas, Colorado, Georgia, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Minnesota, Missouri, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Pennsylvania, South Carolina, South Dakota, Tennessee, Texas, Virginia (Adm1)."
2017-0564-USA,2017,0564,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Texas (Justin in Denton, Collin, Rockwall, Lubbock counties, Seymour in Baylor, Dallas – Fort Worth metro area, Houston metro area), Oklahoma (El Reno in Canadian, Oklahoma city metro region, Caddo in Bryan, Cleveland South and East), Kansas (south), Kentucky, Tennessee, Mississippi, Alabama, Georgia, Indianapolis (Marion-IN)",,Hail,Flood,,,,,175,Kph,,,,,2017,3,25,2017,3,28,1,,,,,,,2000000,2210918,2700000,2984739,90.46017931,1;2,3214;3224;3230;3231;3238;3256,29423;30814;30816;30821;30833;30848;30849;30854;30862;31207;31211;31219;31235;31242;31256;31260;31270;31278;31283;31300;31310;31315;31325;31328;31345;31351;31369;31383;31398;31412;31419;31436;31448,"Alabama, Georgia, Kansas, Kentucky, Mississippi, Tennessee (Adm1). Austin, Baylor, Brazoria, Bryan, Canadian, Chambers, Cleveland, Collin, Dallas, Denton, Ellis, Fort Bend, Galveston, Grady, Harris, Hood, Hunt, Johnson, Kaufman, Liberty, Lincoln, Logan, Lubbock, Marion, McClain, Montgomery, Oklahoma, Parker, Rockwall, Somervell, Tarrant, Waller, Wise (Adm2)."
2017-0362-USA,2017,0362,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Harvey,United States of America (the),USA,Northern America,Americas,"Eastern Texas (Rockport, Corpus Chrsti, Port Lavaca, Cypress area of Houston, Houston metro area, Beaumont, Port Arthur, Angelina, Aransas, Atascosa, Austin, Bastrop, Bee, Bexar, Brazoria, Brazos, Burleson, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Jackson, Jasper, Jefferson, Jim Wells, Karnes, Kerr, Kleberg, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Newton, Nueces, Orange, Polk, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson, San Augustine), Southwestern Louisiana (Acadia, Forrest, Iberia, Lafayette, Vernon, Beauregard, Calcasieu, Cameron (Hackberry), Jefferson Davis, Vermillion, Allen, Natchitoches, Rapides, Sabine)",,Flood,Oil spill,,,Yes,,215,Kph,,,,"Sabine River, Brazos River, Navidad River, San Bernard River, San Jacinto River, Trinity River, Clear Creek, Cypress Creek, Davidson Creek, Lake Creek, Menard Creek, Peach Creek, and Buffalo Bayou while the Colorado River, Guadalupe River, Lavaca River, Tres Palacios River, Bedias Creek, Caney Creek, Garcitas Creek, Sandies Creek, Sandy Creek, Spring Creek, Brays Bayou, White Oak Bayou, Greens Bayou",2017,8,25,2017,8,29,88,24,555000,27000,582024,,,30000000,33163764,95000000,105018585,90.46017931,2,,29791;29792;29796;29800;29802;29813;29817;29819;29825;29830;29833;29847;29848;30096;31202;31203;31206;31207;31210;31212;31214;31219;31220;31225;31227;31228;31230;31235;31244;31245;31261;31274;31278;31283;31287;31288;31292;31293;31299;31300;31319;31320;31322;31324;31327;31332;31336;31342;31343;31344;31345;31348;31353;31357;31369;31375;31377;31380;31386;31395;31401;31403;31404;31427;31428;31434;31435;31436;31438;31440;31444;31446,"Acadia, Allen, Angelina, Aransas, Atascosa, Austin, Bastrop, Beauregard, Bee, Bexar, Brazoria, Brazos, Burleson, Calcasieu, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Forrest, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Iberia, Jackson, Jasper, Jefferson, Jefferson Davis, Jim Wells, Karnes, Kerr, Kleberg, Lafayette, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Natchitoches, Newton, Nueces, Orange, Polk, Rapides, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Vermilion, Vernon, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson (Adm2)."
2017-0070-USA,2017,0070,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Illinois, Missouri, Indiana, Arkansas, Kentucky, Tennessee, Ohio , Georgia, Iowa, North Carolina, Virginia, Alabama, South Carolina, West Virginia, Michigan states",,Hail,Lightening,,,,,,Kph,,,,,2017,2,27,2017,3,2,4,12,600,,612,,,1400000,1547642,1900000,2100372,90.46017931,1,3214;3217;3224;3227;3228;3229;3231;3236;3239;3247;3249;3254;3256;3260;3262,,"Alabama, Arkansas, Georgia, Illinois, Indiana, Iowa, Kentucky, Michigan, Missouri, North Carolina, Ohio, South Carolina, Tennessee, Virginia, West Virginia (Adm1)."
2017-0203-USA,2017,0203,,Natural,Meteorological,Storm,Convective storm,Hail,,United States of America (the),USA,Northern America,Americas,"Colorado, New Mexico, Texas, Oklahoma, Missouri",,Hail,,,,,,130,Kph,,,,,2017,5,9,2017,5,11,,,,,,,,2500000,2763647,3100000,3426922,90.46017931,1,3219;3239;3245;3250;3257,,"Colorado, Missouri, New Mexico, Oklahoma, Texas (Adm1)."
2017-0563-USA,2017,0563,,Natural,Meteorological,Storm,Convective storm,Hail,,United States of America (the),USA,Northern America,Americas,"Missouri (Oak Grove in Jackson County, Clay and Clinton (Trimble, Plattsburg, Lathrop) counties), Iowa (Centerville in Appanoose county, Muscatine), Minnesota (Sherburne, Freeborn counties, Lake Ann in Carver county), Kansas (Wabaunsee, Pottawatomie and Butler counties), Wisconsin, Arkansas, Oklahoma, Illinois, Mississipi, Michigan, New-York, Pennsylvania, Massachussets, Ohio, Nebraska, Indiana",,Hail,,,,,,130,Kph,,,,,2017,3,6,2017,3,9,2,15,600,,615,,,2000000,2210918,2200000,2432009,90.46017931,1;2,3217;3227;3228;3235;3236;3238;3241;3246;3249;3250;3252;3263,29470;29536;29573;29640;29664;30001;30015;30061;30184;30185;30208,"Arkansas, Illinois, Indiana, Massachusetts, Michigan, Mississippi, Nebraska, New York, Ohio, Oklahoma, Pennsylvania, Wisconsin (Adm1). Appanoose, Butler, Carver, Clay, Clinton, Freeborn, Jackson, Muscatine, Pottawatomie, Sherburne, Wabaunsee (Adm2)."
2017-0253-USA,2017,0253,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Minnesota (Minneapolis – St. Paul, MN metro region-Twin Cities, Lac Qui Parle County, Montevideo (Chippewa), Slayton (Murray), St. Cloud (Stearns), Monticello (Wright), Coon Rapids (Anoka)), Wisconsin (St. Croix), Upper Peninsula (Michigan), North Dakota (Richardson, Stark County, Morton County, Milton and Langdon in Cavalier County), South Dakota (Deuel, Jerauld, Beadle, and Clark Counties)",,Hail,,,,,,135,Kph,,,,,2017,6,9,2017,6,12,,2,,,2,,,1500000,1658188,2000000,2210918,90.46017931,1;2,3236,29993;30001;30003;30004;30010;30018;30021;30028;30031;30039;30042;30053;30060;30061;30062;30064;30073;30077;30676;30696;30711;31040;31050;31057;31074;31771;31783,"Michigan (Adm1). Anoka, Beadle, Carver, Cavalier, Chippewa, Chisago, Clark, Dakota, Deuel, Hennepin, Isanti, Jerauld, Lac qui Parle, Le Sueur, Mille Lacs, Morton, Murray, Pierce, Ramsey, Scott, Sherburne, Sibley, St. Croix, Stark, Stearns, Washington, Wright (Adm2)."
